iter	Passed	Remaining
0	138	138390
1	141	70377
2	142	47361
3	144	35962
4	146	29186
5	147	24382
6	148	20998
7	148	18460
8	149	16499
9	152	15131
10	153	13843
11	155	12762
12	156	11844
13	157	11076
14	158	10418
15	159	9815
16	160	9280
17	161	8806
18	162	8380
19	163	8025
20	164	7687
21	165	7369
22	166	7076
23	167	6808
24	168	6565
25	170	6370
26	171	6168
27	172	5973
28	172	5789
29	173	5617
30	174	5458
31	175	5321
32	177	5193
33	178	5061
34	179	4935
35	179	4816
36	180	4703
37	182	4628
38	183	4531
39	184	4435
40	185	4342
41	186	4255
42	187	4175
43	188	4102
44	190	4033
45	191	3961
46	191	3892
47	193	3831
48	194	3775
49	195	3713
50	196	3652
51	197	3593
52	197	3537
53	198	3482
54	199	3431
55	200	3382
56	201	3335
57	202	3287
58	203	3244
59	204	3200
60	205	3157
61	206	3117
62	206	3078
63	207	3039
64	208	3002
65	209	2967
66	210	2931
67	211	2896
68	212	2864
69	213	2832
70	214	2801
71	214	2771
72	215	2741
73	216	2712
74	217	2684
75	218	2658
76	219	2633
77	220	2608
78	221	2582
79	222	2557
80	223	2533
81	224	2510
82	225	2486
83	226	2464
84	226	2442
85	227	2420
86	228	2400
87	229	2379
88	230	2359
89	231	2339
90	234	2341
91	235	2322
92	236	2304
93	237	2286
94	238	2273
95	240	2261
96	241	2244
97	241	2226
98	242	2209
99	243	2192
100	244	2176
101	245	2161
102	246	2145
103	247	2129
104	248	2114
105	248	2098
106	249	2084
107	250	2069
108	251	2057
109	252	2043
110	253	2029
111	254	2016
112	255	2004
113	256	1992
114	257	1982
115	258	1970
116	259	1958
117	260	1946
118	261	1933
119	261	1921
120	262	1909
121	263	1894
122	264	1883
123	264	1872
124	265	1860
125	266	1849
126	267	1838
127	268	1828
128	269	1818
129	270	1808
130	271	1799
131	272	1789
132	272	1779
133	273	1769
134	274	1759
135	275	1749
136	276	1740
137	277	1731
138	278	1722
139	278	1713
140	279	1704
141	280	1695
142	281	1686
143	282	1677
144	283	1669
145	284	1663
146	285	1655
147	286	1647
148	287	1639
149	287	1631
150	288	1624
151	290	1620
152	291	1615
153	293	1611
154	293	1602
155	294	1594
156	295	1585
157	295	1576
158	296	1569
159	297	1562
160	298	1555
161	299	1548
162	299	1539
163	300	1532
164	301	1525
165	302	1520
166	303	1514
167	304	1507
168	305	1501
169	306	1494
170	306	1488
171	307	1481
172	308	1475
173	309	1471
174	310	1465
175	311	1459
176	312	1453
177	313	1446
178	314	1441
179	315	1435
180	315	1429
181	317	1424
182	318	1420
183	319	1415
184	320	1409
185	320	1404
186	321	1398
187	322	1393
188	323	1387
189	324	1382
190	324	1374
191	325	1369
192	325	1362
193	326	1357
194	327	1352
195	328	1347
196	329	1343
197	330	1337
198	330	1332
199	331	1327
200	332	1322
201	333	1317
202	334	1312
203	335	1307
204	335	1302
205	336	1298
206	337	1293
207	338	1289
208	339	1284
209	340	1279
210	340	1273
211	342	1271
212	343	1267
213	343	1263
214	344	1258
215	345	1254
216	346	1249
217	347	1246
218	348	1243
219	349	1239
220	350	1235
221	351	1230
222	352	1226
223	352	1222
224	354	1220
225	355	1217
226	356	1213
227	357	1209
228	358	1205
229	358	1201
230	360	1199
231	361	1196
232	362	1192
233	363	1188
234	363	1184
235	364	1180
236	365	1176
237	366	1173
238	367	1171
239	368	1167
240	369	1163
241	370	1160
242	371	1156
243	372	1152
244	373	1150
245	374	1148
246	375	1144
247	376	1141
248	377	1137
249	377	1133
250	378	1130
251	380	1129
